case_id | branchCount | branchPointCount | averageTapering | averageTortuosity | abruptEndingRatio
1 | 132 | 82 | 0.057433 | 1.212243 | 0.512195
2 | 97 | 55 | 0.051714 | 1.111160 | 0.529412
3 | 129 | 77 | 0.055891 | 1.372773 | 0.540000
4 | 141 | 78 | 0.037528 | 1.112413 | 0.478261
5 | 48 | 30 | 0.050081 | 1.219975 | 0.437500
6 | 47 | 20 | 0.055749 | 1.214101 | 0.555556
7 | 141 | 78 | 0.040401 | 1.234519 | 0.352941
8 | 72 | 35 | 0.045496 | 1.039654 | 0.500000
9 | 92 | 51 | 0.063763 | 1.097417 | 0.545455
10 | 61 | 26 | 0.121786 | 1.537079 | 0.333333
11 | 69 | 44 | 0.051586 | 1.264902 | 0.360000
12 | 108 | 65 | 0.074281 | 1.179727 | 0.470588
13 | 116 | 62 | 0.047182 | 1.301134 | 0.380000
14 | 48 | 27 | 0.073023 | 1.153287 | 0.529412
15 | 68 | 36 | 0.038033 | 1.253743 | 0.375000
16 | 116 | 67 | 0.060549 | 1.139025 | 0.416667
17 | 147 | 84 | 0.053934 | 1.094766 | 0.309524
18 | 120 | 64 | 0.058110 | 1.136538 | 0.416667
19 | 172 | 88 | 0.057448 | 1.313393 | 0.338235
20 | 55 | 25 | 0.145481 | 1.368121 | 0.476190
21 | 59 | 36 | 0.059576 | 1.088853 | 0.450000
22 | 69 | 35 | 0.078191 | 1.295107 | 0.500000
23 | 92 | 50 | 0.043672 | 1.171144 | 0.432432
24 | 62 | 35 | 0.070917 | 1.207370 | 0.416667
25 | 52 | 30 | 0.084425 | 1.283280 | 0.166667
26 | 85 | 40 | 0.100950 | 1.254505 | 0.268293
27 | 155 | 92 | 0.051482 | 1.462530 | 0.452830
